congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1011,2018-06-28,2,304,224,186,0.031,0.052000000000000005,-0.715,0.105,-0.267,HRES971,Passed,"Providing for consideration of H.Res. 970, insisting that the Department of Justice fully comply with the requests, including subpoenas, of the Permanent Select Committee on Intelligence and the subpoena issued by the Committee on the Judiciary relating to potential violations of FISA",On Ordering the Previous Question,
115,House,1012,2018-06-28,2,305,224,184,0.031,0.052000000000000005,-0.715,0.105,-0.267,HRES971,Passed,"Providing for consideration of H.Res. 970, insisting that the Department of Justice fully comply with the requests, including subpoenas, of the Permanent Select Committee on Intelligence and the subpoena issued by the Committee on the Judiciary relating to potential violations of FISA",On Agreeing to the Resolution,
115,House,1013,2018-06-28,2,306,226,183,0.03,0.054000000000000006,-0.715,0.102,-0.267,HRES970,Passed,"Insisting that the Department of Justice fully comply with the requests, including subpoenas, of the Permanent Select Committee on Intelligence and the subpoena issued by the Committee on the Judiciary relating to potential violations of FISA by personnel of the Department of Justice and related matters",On Agreeing to the Resolution,
115,House,1014,2018-06-28,2,307,116,296,-0.6990000000000001,0.715,-0.003,-0.35,-224.94799999999998,HR6157,Failed,,On Agreeing to the Amendment,
115,House,1015,2018-06-28,2,308,115,296,-0.18100000000000002,-0.9840000000000001,-0.042,0.21899999999999997,-226.618,HR6157,Failed,,On Agreeing to the Amendment,
115,House,1016,2018-06-28,2,309,252,157,-0.035,0.9990000000000001,0.062,0.139,-229.484,HR6157,Agreed to,,On Agreeing to the Amendment,
115,House,1017,2018-06-28,2,310,160,251,0.16899999999999998,-0.986,0.382,0.715,-54.583999999999996,HR6157,Failed,,On Agreeing to the Amendment,
115,House,1018,2018-06-28,2,311,144,267,-0.047,0.9990000000000001,0.049,-0.087,-247.403,HR6157,Failed,,On Agreeing to the Amendment,
115,House,1019,2018-06-28,2,312,186,224,-0.16899999999999998,0.986,0.593,0.772,-11.550999999999998,HR6157,Failed,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Recommit with Instructions,
115,House,1020,2018-06-28,2,313,359,49,-0.544,-0.07400000000000001,-0.396,-1.466,-58.048,HR6157,Passed,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2019, and for other purposes",On Passage,
115,House,1021,2018-07-10,2,314,368,19,0.307,-0.632,0.2,-1.6769999999999998,-22.584,HR5793,Passed,Housing Choice Voucher Mobility Demonstration Act,On Motion to Suspend the Rules and Pass,
115,House,1022,2018-07-10,2,315,385,0,0.0,0.0,0.0,0.0,0.0,HR5749,Passed,Options Markets Stability Act,"On Motion to Suspend the Rules and Pass, as Amended",
115,House,1023,2018-07-11,2,316,225,186,0.012,0.361,-0.67,-0.616,-3.6460000000000004,HRES965,Passed,Providing for consideration of the bill (H.R. 200) Strengthening Fishing Communities and Increasing Flexibility in Fisheries Management Act,On Ordering the Previous Question,
115,House,1024,2018-07-11,2,317,227,184,0.027999999999999997,0.045,-0.715,0.106,-0.272,HRES965,Passed,Providing for consideration of the bill (H.R. 200) Strengthening Fishing Communities and Increasing Flexibility in Fisheries Management Act,On Agreeing to the Resolution,
